#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
236,,狙击手,austria,dd,,,,,,
237,,奋斗,austria,dd,,,,,,
238,,土伦,austria,dd,,,,,,
239,,乌兰,austria,dd,,,,,,
240,,信赖,austria,dd,,,,,,
241,,伟莱比特,austria,dd,,,,,,
242,,瓦拉斯丁纳,austria,dd,,,,,,
243,,野牙,austria,dd,,,,,,
244,,巴拉顿,austria,dd,,,,,,
245,,塞佩尔,austria,dd,,,,,,
246,,利卡,austria,dd,,,,,,
247,,奥尔湛,austria,dd,,,,,,
248,,塔特拉,austria,dd,,,,,,
249,,特里格拉夫,austria,dd,,,,,,
250,,杜克拉,austria,dd,,,,,,
251,,乌朱斯,austria,dd,,,,,,
252,,蟒,austria,tb,,,,,,
253,,蛇,austria,tb,,,,,,
254,,蟒蛇,austria,tb,,,,,,
255,,眼镜蛇,austria,tb,,,,,,
256,,凯门鳄,austria,tb,,,,,,
257,,巨蛇,austria,tb,,,,,,
258,,鳄鱼,austria,tb,,,,,,
259,,鳄,austria,tb,,,,,,
260,,沃尔玛,austria,tb,,,,,,
261,,猎犬,austria,tb,,,,,,
262,,海豚,austria,tb,,,,,,
263,,独角鲸,austria,tb,,,,,,
264,,鲨鱼,austria,tb,,,,,,
265,,鸥,austria,tb,,,,,,
266,,施瓦尔贝,austria,tb,,,,,,
267,,企鹅,austria,tb,,,,,,
268,,龙,austria,tb,,,,,,
269,,狮鹰,austria,tb,,,,,,
270,,三角,austria,tb,,,,,,
271,,海怪,austria,tb,,,,,,
272,,蝎子,austria,tb,,,,,,
273,,不死鸟,austria,tb,,,,,,
274,,克拉肯,austria,tb,,,,,,
275,,珊瑚,austria,tb,,,,,,
276,,蜥蜴,austria,tb,,,,,,
277,,莫尔奇,austria,tb,,,,,,
278,,科尔莫兰,austria,tb,,,,,,
279,,阿尔克,austria,tb,,,,,,
###,,,britain,,,,,,,
281,,君权,britain,bb,,,,,,
282,,印度女皇,britain,bb,,,,,,
283,,反击,britain,bb,,,,,,
284,,拉米利斯,britain,bb,,,,,,
285,,决心,britain,bb,,,,,,
286,,复仇,britain,bb,,,,,,
287,,可怖,britain,bb,,,,,,
288,,皇家方舟,britain,bb,,,,,,
289,,胡德,britain,bb,,,,,,
290,,百夫长,britain,bb,,,,,,
291,,巴夫勒尔,britain,bb,,,,,,
292,,声望,britain,bb,,,,,,
293,,宏伟,britain,bb,,,,,,
294,,威严,britain,bb,,,,,,
295,,乔治亲王,britain,bb,,,,,,
296,,胜利,britain,bb,,,,,,
297,,木星,britain,bb,,,,,,
298,,火星,britain,bb,,,,,,
299,,汉尼拔,britain,bb,,,,,,
300,,凯撒,britain,bb,,,,,,
301,,光辉,britain,bb,,,,,,
302,,老人星,britain,bb,,,,,,
303,,哥利亚,britain,bb,,,,,,
304,,海神之子,britain,bb,,,,,,
305,,大洋,britain,bb,,,,,,
306,,荣誉,britain,bb,,,,,,
307,,复仇,britain,bb,,,,,,
308,,可怖,britain,bb,,,,,,
309,,大胆,britain,bb,,,,,,
310,,怨仇,britain,bb,,,,,,
311,,伦敦,britain,bb,,,,,,
312,,壁垒,britain,bb,,,,,,
313,,尊敬,britain,bb,,,,,,
314,,女王,britain,bb,,,,,,
315,,威尔士亲王,britain,bb,,,,,,
316,,拉塞尔,britain,bb,,,,,,
317,,霍金斯,britain,bb,,,,,,
318,,蒙塔古,britain,bb,,,,,,
319,,邓肯,britain,bb,,,,,,
320,,康沃利斯,britain,bb,,,,,,
321,,埃克斯茅斯,britain,bb,,,,,,
322,,爱德华七世,britain,bb,,,,,,
323,,英联邦,britain,bb,,,,,,
324,,统治,britain,bb,,,,,,
325,,印度斯坦,britain,bb,,,,,,
326,,新西兰,britain,bb,,,,,,
327,,西兰蒂亚,britain,bb,,,,,,
328,,不列颠尼亚,britain,bb,,,,,,
329,,非洲,britain,bb,,,,,,
330,,爱尔兰,britain,bb,,,,,,
331,,确捷,britain,bb,,,,,,
332,,楷模,britain,bb,,,,,,
333,,纳尔逊,britain,bb,,,,,,
334,,阿伽门农,britain,bb,,,,,,
335,,无畏,britain,bb,,,,,,
336,,柏勒罗丰,britain,bb,,,,,,
337,,卓越,britain,bb,,,,,,
338,,无畏,britain,bb,,,,,,
339,,圣文森特,britain,bb,,,,,,
340,,科林伍德,britain,bb,,,,,,
341,,前卫,britain,bb,,,,,,
342,,海王星,britain,bb,,,,,,
343,,巨人,britain,bb,,,,,,
344,,赫拉克勒斯,britain,bb,,,,,,
345,,猎户座,britain,bb,,,,,,
346,,君主,britain,bb,,,,,,
347,,征服者,britain,bb,,,,,,
348,,雷霆,britain,bb,,,,,,
349,,英王五世,britain,bb,,,,,,
350,,鲁莽,britain,bb,,,,,,
351,,阿贾克斯,britain,bb,,,,,,
352,,铁公爵,britain,bb,,,,,,
353,,马尔博罗,britain,bb,,,,,,
354,,本鲍,britain,bb,,,,,,
355,,印度国王,britain,bb,,,,,,
356,,阿金库尔,britain,bb,,,,,,
357,,爱尔兰,britain,bb,,,,,,
358,,加拿大,britain,bb,,,,,,
359,,大胆,britain,bb,,,,,,
360,,伊丽莎白女王,britain,bb,,,,,,
361,,厌战,britain,bb,,,,,,
362,,巴勒姆,britain,bb,,,,,,
363,,英勇,britain,bb,,,,,,
364,,马来亚,britain,bb,,,,,,
365,,纳尔逊,britain,bb,,,,,,
366,,罗德尼,britain,bb,,,,,,
367,,约克公爵,britain,bb,,,,,,
368,,安森,britain,bb,,,,,,
369,,豪,britain,bb,,,,,,
370,,狮,britain,bb,,,,,,
371,,无敌,britain,bc,,,,,,
372,,英弗莱息白,britain,bc,,,,,,
373,,不屈,britain,bc,,,,,,
374,,不倦,britain,bc,,,,,,
375,,新西兰,britain,bc,,,,,,
376,,狮,britain,bc,,,,,,
377,,皇家公主,britain,bc,,,,,,
378,,玛丽王后,britain,bc,,,,,,
379,,虎,britain,bc,,,,,,
380,,声望,britain,bc,,,,,,
381,,反击,britain,bc,,,,,,
382,,勇敢,britain,bc,,,,,,
383,,光荣,britain,bc,,,,,,
384,,暴怒,britain,bc,,,,,,
385,,无比,britain,bc,,,,,,
386,,胡德,britain,bc,,,,,,
387,,安森,britain,bc,,,,,,
388,,豪,britain,bc,,,,,,
389,,罗德尼,britain,bc,,,,,,
390,,勇士,britain,bc,,,,,,
391,,黑亲王,britain,bc,,,,,,
392,,保卫,britain,bc,,,,,,
393,,抵抗,britain,bc,,,,,,
394,,赫克托,britain,bc,,,,,,
395,,英勇,britain,bc,,,,,,
396,,阿贾克斯,britain,bc,,,,,,
397,,米诺陶,britain,bc,,,,,,
398,,阿金库尔,britain,bc,,,,,,
399,,诺森伯兰郡,britain,bc,,,,,,
400,,王后,britain,bc,,,,,,
401,,喀里多尼亚,britain,bc,,,,,,
402,,大洋,britain,bc,,,,,,
403,,皇家方舟,britain,bc,,,,,,
404,,皇家阿尔弗雷德,britain,bc,,,,,,
405,,企业,britain,bc,,,,,,
406,,至爱,britain,bc,,,,,,
407,,热忱,britain,bc,,,,,,
408,,克莱德勋爵,britain,bc,,,,,,
409,,五港总督,britain,bc,,,,,,
410,,雅典娜,britain,bc,,,,,,
411,,柏勒洛丰,britain,bc,,,,,,
412,,珀涅罗珀,britain,bc,,,,,,
413,,赫拉克勒斯,britain,bc,,,,,,
414,,君主,britain,bc,,,,,,
415,,鲁莽,britain,bc,,,,,,
416,,毁灭,britain,bc,,,,,,
417,,雷霆,britain,bc,,,,,,
418,,卓越,britain,bc,,,,,,
419,,特拉法尔加,britain,bc,,,,,,
420,,巨人,britain,bc,,,,,,
421,,香农,britain,ca,,,,,,
422,,纳尔逊,britain,ca,,,,,,
423,,蛮横,britain,ca,,,,,,
424,,厌战,britain,ca,,,,,,
425,,奥兰多,britain,ca,,,,,,
426,,澳大利亚,britain,ca,,,,,,
427,,无畏,britain,ca,,,,,,
428,,水仙,britain,ca,,,,,,
429,,加拉提亚,britain,ca,,,,,,
430,,不朽,britain,ca,,,,,,
431,,极光,britain,ca,,,,,,
432,,布莱克,britain,ca,,,,,,
433,,布伦海姆,britain,ca,,,,,,
434,,埃德加,britain,ca,,,,,,
435,,霍克,britain,ca,,,,,,
436,,恩底弥翁,britain,ca,,,,,,
437,,皇家亚瑟,britain,ca,,,,,,
438,,直布罗陀,britain,ca,,,,,,
439,,格拉夫顿,britain,ca,,,,,,
440,,圣乔治,britain,ca,,,,,,
441,,特修斯,britain,ca,,,,,,           
442,,新月,britain,ca,,,,,,
443,,强大,britain,ca,,,,,,
444,,可怖,britain,ca,,,,,,
445,,王冠,britain,ca,,,,,,
446,,尼俄伯,britain,ca,,,,,,
447,,欧罗巴,britain,ca,,,,,,
448,,仙女座,britain,ca,,,,,,
449,,安菲特里特,britain,ca,,,,,,
450,,阿尔戈,britain,ca,,,,,,
451,,阿里阿德涅,britain,ca,,,,,,
452,,斯巴达,britain,ca,,,,,,
453,,克雷西,britain,ca,,,,,,
454,,萨特累,britain,ca,,,,,,
455,,阿布基尔,britain,ca,,,,,,
456,,霍格,britain,ca,,,,,,
457,,酒神,britain,ca,,,,,,
458,,欧亚卢斯,britain,ca,,,,,,
459,,德雷克,britain,ca,,,,,,
460,,好望角,britain,ca,,,,,,
461,,阿尔弗雷德国王,britain,ca,,,,,,
462,,利维坦,britain,ca,,,,,,
463,,蒙茅斯,britain,ca,,,,,,
464,,贝德福德,britain,ca,,,,,,
465,,艾塞克斯,britain,ca,,,,,,
466,,肯特,britain,ca,,,,,,
467,,贝里克,britain,ca,,,,,,
468,,康沃尔,britain,ca,,,,,,
469,,坎伯兰,britain,ca,,,,,,
470,,多尼戈尔,britain,ca,,,,,,
471,,兰开斯特,britain,ca,,,,,,
472,,萨福克,britain,ca,,,,,,
473,,德文郡,britain,ca,,,,,,
474,,汉普郡,britain,ca,,,,,,
475,,卡那封,britain,ca,,,,,,
476,,安特里姆郡,britain,ca,,,,,,
477,,罗克斯堡,britain,ca,,,,,,
478,,阿盖尔,britain,ca,,,,,,
479,,爱丁堡公爵,britain,ca,,,,,,
480,,黑亲王,britain,ca,,,,,,
481,,勇士,britain,ca,,,,,,
482,,科克伦,britain,ca,,,,,,
483,,阿喀琉斯,britain,ca,,,,,,
484,,纳塔尔,britain,ca,,,,,,
485,,弥诺陶,britain,ca,,,,,,
486,,爱尔兰,britain,cl,,,,,,
487,,水星,britain,cl,,,,,,
488,,科玛斯,britain,cl,,,,,,
489,,库拉科,britain,cl,,,,,,
490,,冠军,britain,cl,,,,,,
491,,克利奥佩特拉,britain,cl,,,,,,
492,,卡里斯福特,britain,cl,,,,,,
493,,征服,britain,cl,,,,,,
494,,康斯坦斯,britain,cl,,,,,,
495,,加拿大,britain,cl,,,,,,
496,,科迪莉亚,britain,cl,,,,,,
497,,莱安德,britain,cl,,,,,,
498,,阿瑞塞莎,britain,cl,,,,,,
499,,法厄同,britain,cl,,,,,,
500,,安菲翁,britain,cl,,,,,,
501,,卡利普索,britain,cl,,,,,,
502,,卡利奥普,britain,cl,,,,,,
503,,突袭,britain,cl,,,,,,
504,,敏捷,britain,cl,,,,,,
505,,默西,britain,cl,,,,,,
506,,塞文,britain,cl,,,,,,
507,,泰晤士,britain,cl,,,,,,
508,,前进,britain,cl,,,,,,
509,,童子军,britain,cl,,,,,,
510,,无畏,britain,cl,,,,,,
511,,半人马,britain,cl,,,,,,
512,,莫霍克,britain,cl,,,,,,
513,,轻快,britain,cl,,,,,,
514,,海豚,britain,cl,,,,,,
515,,哥萨克,britain,cl,,,,,,
516,,达靼,britain,cl,,,,,,
517,,毒蛇,britain,cl,,,,,,
518,,浣熊,britain,cl,,,,,,
519,,马拉松,britain,cl,,,,,,
520,,魔术师,britain,cl,,,,,,
521,,美狄亚,britain,cl,,,,,,
522,,美杜莎,britain,cl,,,,,,
523,,墨尔波墨涅,britain,cl,,,,,,
524,,巴拉库塔,britain,cl,,,,,,
525,,巴罗萨,britain,cl,,,,,,
526,,布兰奇,britain,cl,,,,,,
527,,金发女郎,britain,cl,,,,,,
528,,巴勒姆,britain,cl,,,,,,
529,,贝罗纳,britain,cl,,,,,,
